N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
580386,04/12/2021 10:29,18065,United Kingdom,50,188.9
570252,10/10/2021 09:14,14665,United Kingdom,238,559.52
536782,02/12/2020 15:18,17567,United Kingdom,244,517.95
571082,13/10/2021 15:25,,United Kingdom,479,1354.71
551984,05/05/2021 14:37,15841,United Kingdom,234,281.66
564476,25/08/2021 12:57,12610,Italy,168,309.5
540353,06/01/2021 14:53,13764,United Kingdom,282,499.89
558706,01/07/2021 12:52,16839,United Kingdom,320,416.96
566278,11/09/2021 14:05,13614,United Kingdom,67,302.15
540477,07/01/2021 14:49,13233,United Kingdom,404,304.24
569695,05/10/2021 15:35,16843,United Kingdom,938,993.88
538308,10/12/2020 13:29,14107,United Kingdom,268,363.24
549054,06/04/2021 10:21,17719,United Kingdom,109,312.19
555626,06/06/2021 11:55,16103,United Kingdom,92,270.8
563921,21/08/2021 14:00,16407,United Kingdom,2,15.9
563943,22/08/2021 10:04,13139,United Kingdom,268,540.92
575854,11/11/2021 12:20,14125,United Kingdom,486,1111.08
552764,11/05/2021 11:34,17489,United Kingdom,232,208.56
571407,17/10/2021 12:16,13750,United Kingdom,85,330.63
548208,29/03/2021 17:12,14189,United Kingdom,224,314.1
556922,15/06/2021 13:56,12748,United Kingdom,5,14.25
572076,20/10/2021 14:01,13761,United Kingdom,418,578.94
544189,16/02/2021 16:40,15867,United Kingdom,36,133
562543,05/08/2021 15:45,13552,United Kingdom,216,463.9
573136,27/10/2021 17:00,12709,Germany,110,268.68
558261,28/06/2021 08:39,16945,United Kingdom,24,10.08
581482,09/12/2021 09:08,17490,United Kingdom,228,488.4
579740,30/11/2021 14:30,,United Kingdom,13,32.07
559538,10/07/2021 12:25,16880,United Kingdom,135,269.49
548862,04/04/2021 13:47,17956,United Kingdom,1,12.75
565569,05/09/2021 12:21,14111,United Kingdom,18,48.3
556047,08/06/2021 12:57,12901,United Kingdom,90,276.24
548189,29/03/2021 15:15,16607,United Kingdom,163,141.41
557213,17/06/2021 12:16,15021,United Kingdom,119,218.14
549142,06/04/2021 15:26,,United Kingdom,145,0
571310,17/10/2021 10:17,13394,United Kingdom,463,371.73
542254,26/01/2021 16:41,14733,United Kingdom,133,511.69
576674,16/11/2021 12:00,,United Kingdom,145,0
548546,31/03/2021 19:20,16600,United Kingdom,186,111.6
558563,30/06/2021 13:43,14561,United Kingdom,192,344.92
543385,07/02/2021 16:24,,United Kingdom,1,7.95
546034,09/03/2021 09:44,14032,United Kingdom,291,309.64
557602,21/06/2021 11:57,14110,United Kingdom,156,379.72
544596,21/02/2021 17:35,16441,United Kingdom,110,211
553006,12/05/2021 16:45,15544,United Kingdom,393,560.35
542634,31/01/2021 10:42,15448,United Kingdom,232,494.64
540536,09/01/2021 14:21,17757,United Kingdom,93,145.5
536568,01/12/2020 15:28,16048,United Kingdom,12,5.04
545686,06/03/2021 12:09,18211,United Kingdom,56,137.9
553861,19/05/2021 13:58,13591,United Kingdom,135,314.03
567370,20/09/2021 09:13,14236,United Kingdom,272,301.56
560034,14/07/2021 13:35,13933,United Kingdom,113,300.99
547419,23/03/2021 10:27,15061,United Kingdom,1135,1649.58
565081,01/09/2021 09:03,,United Kingdom,1,0
565680,06/09/2021 10:27,14560,United Kingdom,240,100.8
561244,26/07/2021 11:24,13865,United Kingdom,54,100.82
542155,26/01/2021 10:51,15777,United Kingdom,112,285.6
572023,20/10/2021 11:03,17764,United Kingdom,247,556.85
577749,21/11/2021 14:26,16242,United Kingdom,299,534.2
550901,21/04/2021 12:12,13389,United Kingdom,115,257.89
555546,05/06/2021 13:09,17735,United Kingdom,118,228.3
561900,31/07/2021 15:31,16655,United Kingdom,523,638.19
547963,28/03/2021 15:42,13037,United Kingdom,158,250.42
575968,13/11/2021 12:47,14882,United Kingdom,92,341.8
571745,19/10/2021 10:48,14911,EIRE,711,1588.75
539986,23/12/2020 15:21,,United Kingdom,7,15.25
543115,03/02/2021 13:27,14606,United Kingdom,72,120.75
552947,12/05/2021 11:57,16943,United Kingdom,20,172.1
550002,14/04/2021 09:30,12709,Germany,41,68
551320,27/04/2021 15:25,,United Kingdom,60,0
569539,04/10/2021 15:58,18102,United Kingdom,112,557.76
569863,06/10/2021 14:44,,United Kingdom,1,9.95
545812,07/03/2021 12:26,14214,United Kingdom,313,638.65
569740,06/10/2021 10:52,15769,United Kingdom,1600,2924
564648,26/08/2021 14:04,15641,United Kingdom,466,581.82
573751,01/11/2021 09:33,,United Kingdom,10,0
551859,04/05/2021 15:37,14336,United Kingdom,301,230.03
538070,09/12/2020 14:08,16519,United Kingdom,24,103.7
576848,16/11/2021 15:38,15051,United Kingdom,124,245.68
546442,14/03/2021 10:38,15159,United Kingdom,54,207.3
560422,18/07/2021 15:14,16746,United Kingdom,162,300.18
541967,24/01/2021 13:35,,United Kingdom,145,0
559948,14/07/2021 10:41,12653,Israel,633,1430.75
539688,21/12/2020 11:00,12678,France,1,150
548916,05/04/2021 10:07,14849,United Kingdom,377,422.34
576767,16/11/2021 13:12,,United Kingdom,145,0
565851,07/09/2021 13:06,14911,EIRE,332,637.29
538909,15/12/2020 10:48,13491,United Kingdom,18,97.5
553475,17/05/2021 11:31,18102,United Kingdom,306,866.4
536523,01/12/2020 12:50,12868,United Kingdom,112,203.3
547571,24/03/2021 09:52,16265,United Kingdom,182,432.3
557871,23/06/2021 12:41,13458,United Kingdom,130,300.78
553017,12/05/2021 19:01,12757,Portugal,311,602.83
549471,08/04/2021 14:39,17389,United Kingdom,72,73.5
573924,02/11/2021 09:45,15065,United Kingdom,202,299.38
576641,16/11/2021 09:59,17549,United Kingdom,150,120.66
574746,07/11/2021 08:30,16523,United Kingdom,198,676.8
546019,08/03/2021 17:25,14507,United Kingdom,50,39.49
556809,14/06/2021 16:48,17179,United Kingdom,82,223.48
567768,22/09/2021 11:17,15950,United Kingdom,123,255.84
574661,06/11/2021 11:56,13447,United Kingdom,166,430.3
549838,12/04/2021 13:39,16705,United Kingdom,48,96
547519,23/03/2021 14:46,16308,United Kingdom,1000,320
577080,17/11/2021 15:24,17001,United Kingdom,172,357.6
560048,14/07/2021 15:02,13515,United Kingdom,127,132.16
568709,28/09/2021 15:42,15036,United Kingdom,176,219.86
539651,20/12/2020 16:19,,United Kingdom,26,32.5
578171,23/11/2021 11:36,17685,United Kingdom,207,392.4
576400,15/11/2021 10:51,13632,United Kingdom,288,452.14
557640,21/06/2021 16:24,,United Kingdom,364,1760.85
543013,02/02/2021 13:35,,United Kingdom,310,1340.77
542083,25/01/2021 12:26,18008,United Kingdom,355,130.81
579759,30/11/2021 15:02,15251,United Kingdom,244,363.88
552215,06/05/2021 15:12,,United Kingdom,145,0
537628,07/12/2020 15:02,16293,United Kingdom,189,378.75
542096,25/01/2021 12:52,17236,United Kingdom,141,199.33
549149,06/04/2021 15:31,,United Kingdom,145,0
576909,17/11/2021 09:49,12471,Germany,519,1072.12
560105,14/07/2021 19:23,16794,United Kingdom,263,222.13
541709,21/01/2021 11:09,17504,United Kingdom,233,441.15
578272,23/11/2021 13:40,17463,United Kingdom,126,198.31
555363,02/06/2021 14:15,14453,United Kingdom,49,119.93
566033,08/09/2021 13:07,16031,United Kingdom,204,243.31
571545,17/10/2021 16:59,,United Kingdom,11,13.65
562155,03/08/2021 11:24,17940,United Kingdom,648,162
561047,24/07/2021 12:46,16948,United Kingdom,1368,194.48
568527,27/09/2021 13:21,13178,United Kingdom,539,765
563382,16/08/2021 10:50,18221,United Kingdom,145,169.85
549196,07/04/2021 10:33,14911,EIRE,271,356.23
577599,21/11/2021 08:26,15738,United Kingdom,202,316.9
569567,05/10/2021 09:56,16059,United Kingdom,40,105.3
576347,14/11/2021 15:38,13268,United Kingdom,2,8.2
544569,21/02/2021 12:58,16980,United Kingdom,418,732.36
542865,01/02/2021 12:08,12929,United Kingdom,37,117.85
562789,09/08/2021 13:50,14646,Netherlands,7807,12341.21
567798,22/09/2021 12:00,13089,United Kingdom,331,886.63
565577,05/09/2021 12:24,14177,United Kingdom,2,7.5
550915,21/04/2021 13:30,13263,United Kingdom,69,133.59
541293,17/01/2021 13:39,15311,United Kingdom,145,394.57
578688,25/11/2021 09:27,16719,United Kingdom,235,292.67
560896,21/07/2021 17:26,15623,United Kingdom,125,301.03
561711,29/07/2021 11:45,13414,United Kingdom,368,532.8
575701,10/11/2021 16:59,13396,United Kingdom,461,973.72
547886,28/03/2021 09:21,13652,United Kingdom,178,329.44
562467,05/08/2021 11:50,13513,United Kingdom,109,205.1
563927,21/08/2021 15:01,14013,United Kingdom,258,199.22
581471,08/12/2021 19:29,14702,United Kingdom,76,199.29
573230,28/10/2021 11:55,13199,United Kingdom,48,85.92
568656,28/09/2021 12:21,14911,EIRE,70,141.62
554502,24/05/2021 14:47,14289,United Kingdom,26,124.68
581017,07/12/2021 10:06,14910,United Kingdom,80,110.8
540116,05/01/2021 09:54,,United Kingdom,2,10.13
546428,13/03/2021 14:55,12681,France,185,343.29
571090,13/10/2021 15:28,15271,United Kingdom,34,79.5
540856,12/01/2021 10:16,16655,United Kingdom,373,812.25
568242,26/09/2021 12:11,14931,Channel Islands,181,261.65
557599,21/06/2021 11:34,,United Kingdom,145,0
550713,20/04/2021 11:11,15159,United Kingdom,1,12.5
542100,25/01/2021 13:15,15339,United Kingdom,159,257.9
549833,12/04/2021 13:19,13458,United Kingdom,666,1015.14
571918,19/10/2021 16:05,17350,United Kingdom,240,156.24
566983,16/09/2021 10:16,,United Kingdom,1,0
537432,06/12/2020 16:10,,United Kingdom,145,0
537759,08/12/2020 11:42,13126,United Kingdom,108,203.64
554128,23/05/2021 09:26,,United Kingdom,145,0
555940,08/06/2021 10:10,14191,United Kingdom,98,357.6
560834,21/07/2021 12:15,16523,United Kingdom,204,484.4
554366,24/05/2021 10:24,17450,United Kingdom,3084,9468.48
566520,13/09/2021 11:26,17757,United Kingdom,61,161.19
537471,07/12/2020 10:51,14344,United Kingdom,3,17.85
562034,02/08/2021 09:14,12449,Belgium,267,777.95
572516,24/10/2021 14:45,,United Kingdom,145,0
561108,25/07/2021 11:43,,United Kingdom,145,0
568332,26/09/2021 14:30,13434,United Kingdom,240,461.4
556823,15/06/2021 10:24,,United Kingdom,8,77.72
537456,07/12/2020 09:43,17450,United Kingdom,780,1989.24
569693,05/10/2021 15:18,17837,United Kingdom,105,250.95
573131,27/10/2021 16:44,15622,United Kingdom,106,381.95
540099,04/01/2021 16:41,15808,United Kingdom,322,733.92
546220,10/03/2021 12:16,16745,United Kingdom,584,541.1
560252,17/07/2021 12:35,13468,United Kingdom,61,115.87
569653,05/10/2021 12:52,12451,Switzerland,1650,2539.56
553545,17/05/2021 15:37,,United Kingdom,68,430.14
575475,09/11/2021 16:03,17702,United Kingdom,302,485.6
575703,10/11/2021 16:59,13767,United Kingdom,902,1735.3
556279,09/06/2021 19:55,14562,United Kingdom,59,215.39
578951,27/11/2021 14:40,15514,United Kingdom,277,499.23
578947,27/11/2021 13:49,14547,United Kingdom,438,534.58
570129,07/10/2021 13:34,12885,United Kingdom,293,519.47
566607,13/09/2021 16:40,13032,United Kingdom,175,496.3
580887,06/12/2021 12:26,13755,United Kingdom,80,156.9
552523,09/05/2021 16:38,15797,United Kingdom,200,330
541263,16/01/2021 16:10,16843,United Kingdom,534,759.06
542796,01/02/2021 11:07,17356,United Kingdom,166,178.22
566776,15/09/2021 09:53,14911,EIRE,226,368.37
544170,16/02/2021 14:01,16148,United Kingdom,72,76.32
539469,19/12/2020 13:59,17841,United Kingdom,152,283.52
549670,11/04/2021 12:45,16168,United Kingdom,88,141.2
573902,01/11/2021 14:51,17428,United Kingdom,48,311.18
544826,24/02/2021 09:36,14513,United Kingdom,7,18.75
541086,13/01/2021 12:32,16503,United Kingdom,118,353.7
543824,14/02/2021 09:31,14631,United Kingdom,160,309.5
552464,09/05/2021 15:12,12726,France,333,223.4
551515,01/05/2021 10:51,15606,United Kingdom,104,320.88
540160,05/01/2021 11:50,15769,United Kingdom,1032,2574.48
565631,05/09/2021 15:49,14680,United Kingdom,568,1226.16
580281,02/12/2021 13:15,12704,Finland,81,198.76
559157,06/07/2021 15:53,13999,United Kingdom,167,307.03
566257,11/09/2021 12:34,13324,United Kingdom,680,855.6
568724,28/09/2021 16:27,,United Kingdom,145,0
554286,23/05/2021 14:16,17686,United Kingdom,97,386.96
546741,16/03/2021 12:22,13261,United Kingdom,20,99
546029,09/03/2021 08:59,15206,United Kingdom,6,17.7
543278,06/02/2021 14:43,16745,United Kingdom,406,203.82
540630,10/01/2021 11:59,17849,United Kingdom,19,217.75
559817,12/07/2021 16:20,,United Kingdom,652,1839.58
547563,24/03/2021 08:56,15651,United Kingdom,238,227.32
554105,22/05/2021 14:04,14711,United Kingdom,111,213.06
539442,17/12/2020 15:39,16558,United Kingdom,127,311.15
563952,22/08/2021 10:44,15572,United Kingdom,267,679.25
545162,28/02/2021 13:35,16187,United Kingdom,247,480.9
564966,31/08/2021 15:08,17677,United Kingdom,24,34.8
578354,24/11/2021 10:12,17139,United Kingdom,232,468.52
550986,21/04/2021 18:06,,United Kingdom,378,1654.97
572926,27/10/2021 09:23,15659,United Kingdom,111,306.45
570292,10/10/2021 11:59,13418,United Kingdom,124,370.68
550972,21/04/2021 17:05,14031,United Kingdom,46,99.63
541850,23/01/2021 13:58,14224,United Kingdom,99,244.3
573124,27/10/2021 16:24,13654,United Kingdom,24,99.6
571080,13/10/2021 15:19,13719,United Kingdom,77,250.49
565420,04/09/2021 12:09,16326,United Kingdom,85,313.05
554633,25/05/2021 11:44,14287,United Kingdom,144,17.28
543464,08/02/2021 14:15,16779,United Kingdom,308,364.32
553655,18/05/2021 11:14,16775,United Kingdom,31,114.7
553559,17/05/2021 17:12,14931,Channel Islands,1,293
551391,28/04/2021 12:06,15514,United Kingdom,152,385.2
559491,08/07/2021 13:53,,United Kingdom,119,646.04
544391,18/02/2021 11:53,15755,United Kingdom,198,314.68
542505,28/01/2021 12:04,,United Kingdom,2560,0
575039,08/11/2021 11:53,15005,United Kingdom,245,327.22
544098,16/02/2021 10:04,16019,United Kingdom,396,1129.35
548997,05/04/2021 14:33,,United Kingdom,20,0
579495,29/11/2021 15:34,13576,United Kingdom,180,327.48
565852,07/09/2021 13:11,,United Kingdom,7,14.1
569550,04/10/2021 17:32,15955,United Kingdom,10,8.5
556827,15/06/2021 10:29,15134,United Kingdom,101,171.63
541278,17/01/2021 11:53,14135,United Kingdom,52,167.4
553192,15/05/2021 13:27,15333,United Kingdom,344,1028.56
549502,08/04/2021 15:07,,United Kingdom,1,0
548739,04/04/2021 11:28,15493,United Kingdom,106,412.49
562949,11/08/2021 09:47,14346,United Kingdom,501,759.14
542806,01/02/2021 11:20,12836,United Kingdom,254,798.99
573757,01/11/2021 09:46,17166,United Kingdom,21,78.75
542925,02/02/2021 09:39,14457,United Kingdom,88,113.64
545158,28/02/2021 13:28,15874,United Kingdom,52,584.35
549826,12/04/2021 12:53,15044,United Kingdom,114,440.5
573830,01/11/2021 11:35,16960,United Kingdom,76,148.96
548196,29/03/2021 15:44,16011,United Kingdom,63,118.55
575331,09/11/2021 13:52,13209,United Kingdom,593,1049.66
566491,13/09/2021 10:25,14060,United Kingdom,216,294.24
556514,13/06/2021 10:45,,United Kingdom,2,23.25
572670,25/10/2021 13:14,13685,United Kingdom,1524,594.36
554356,24/05/2021 09:25,12670,France,210,393.34
570868,12/10/2021 16:18,,United Kingdom,96,0
549264,07/04/2021 12:45,,United Kingdom,145,0
566062,08/09/2021 15:39,14522,United Kingdom,251,482.07
545598,04/03/2021 11:16,,United Kingdom,145,0
542965,02/02/2021 11:22,,United Kingdom,2,0
551293,27/04/2021 14:28,14298,United Kingdom,618,428.64
574747,07/11/2021 08:34,15618,United Kingdom,239,357.81
555846,07/06/2021 13:21,14180,United Kingdom,21,149.15
540455,07/01/2021 12:07,12583,France,491,730.16
573293,28/10/2021 15:14,,United Kingdom,10,0
562721,08/08/2021 16:31,15985,United Kingdom,208,242.84
545021,25/02/2021 14:11,17663,United Kingdom,179,371.39
555367,02/06/2021 14:28,17900,United Kingdom,49,79.8
569907,06/10/2021 16:41,12569,Germany,13,77.4
559819,12/07/2021 16:58,12682,France,117,256.7
575579,10/11/2021 11:49,13081,United Kingdom,144,72
567918,22/09/2021 17:20,,United Kingdom,145,0
578665,24/11/2021 17:02,16570,United Kingdom,208,427.08
547796,25/03/2021 12:34,14646,Netherlands,731,1407.86
554967,27/05/2021 16:23,,United Kingdom,1,5.95
543032,02/02/2021 15:39,12990,United Kingdom,50,97.5
562166,03/08/2021 12:10,13209,United Kingdom,524,595.26
556235,09/06/2021 15:29,12778,Netherlands,85,84
571741,19/10/2021 10:36,15610,United Kingdom,66,112.46
537354,06/12/2020 12:23,12748,United Kingdom,85,133.07
560576,19/07/2021 14:59,17287,United Kingdom,110,202.07
581253,08/12/2021 11:15,16891,United Kingdom,28,115.95
576368,14/11/2021 18:33,,United Kingdom,145,0
572913,26/10/2021 16:21,15993,United Kingdom,678,863.89
547324,22/03/2021 11:27,13014,United Kingdom,108,317.8
551900,05/05/2021 10:45,,United Kingdom,2,0
572534,24/10/2021 16:07,,United Kingdom,145,0
579489,29/11/2021 15:22,16775,United Kingdom,27,129.15
565480,05/09/2021 11:27,18273,United Kingdom,40,102
565369,02/09/2021 15:02,,United Kingdom,1,0
551558,03/05/2021 10:41,17841,United Kingdom,152,327.71
536614,02/12/2020 09:44,17850,United Kingdom,12,22.2
559525,10/07/2021 10:30,16923,United Kingdom,214,391.52
536920,03/12/2020 12:01,,United Kingdom,58,69.3
560714,20/07/2021 13:10,14456,United Kingdom,20,26.25
548746,04/04/2021 12:11,12471,Germany,40,50
566248,11/09/2021 12:06,13272,United Kingdom,72,140.96
565475,05/09/2021 10:47,14156,EIRE,5034,7480.06
565424,04/09/2021 12:24,15215,United Kingdom,92,300.04
540350,06/01/2021 14:14,18283,United Kingdom,61,108.45
553612,18/05/2021 10:48,17556,United Kingdom,101,157.9
540274,06/01/2021 11:59,14618,United Kingdom,92,211.8
550996,26/04/2021 08:57,16681,United Kingdom,260,314.92
581580,09/12/2021 12:20,12748,United Kingdom,82,94.11
573987,02/11/2021 11:14,,United Kingdom,1,0
574149,03/11/2021 11:29,13709,United Kingdom,293,774.9
544408,18/02/2021 13:29,16726,United Kingdom,106,61
540273,06/01/2021 11:57,17368,United Kingdom,711,563.15
578993,27/11/2021 15:38,15987,United Kingdom,182,244.86
581395,08/12/2021 13:18,16892,United Kingdom,35,123.12
543279,06/02/2021 14:46,17105,United Kingdom,359,319.4
577813,22/11/2021 09:06,14297,United Kingdom,458,580.38
545103,28/02/2021 11:57,15039,United Kingdom,2,11.9
552245,06/05/2021 19:42,12748,United Kingdom,14,108.87
542905,01/02/2021 15:11,12540,Spain,193,288.98
574705,06/11/2021 14:06,14553,United Kingdom,21,194.4
564951,31/08/2021 13:35,,United Kingdom,1,8.25
565141,01/09/2021 13:40,17841,United Kingdom,212,354.39
576185,14/11/2021 11:25,,United Kingdom,145,0
560246,17/07/2021 12:17,14292,United Kingdom,328,1353.1
554026,20/05/2021 13:34,13324,United Kingdom,376,648.72
568135,23/09/2021 17:04,,United Kingdom,664,1934.53
574952,08/11/2021 09:47,13924,United Kingdom,123,172.33
564095,23/08/2021 10:31,14930,Channel Islands,52,165.58
577298,18/11/2021 12:49,14299,United Kingdom,497,525.55
557886,23/06/2021 13:39,17799,United Kingdom,233,580.04
536884,03/12/2020 11:42,14589,United Kingdom,5,39.75
572676,25/10/2021 13:30,16258,United Kingdom,649,1462.45
557126,16/06/2021 19:21,18168,United Kingdom,83,115.15
557118,16/06/2021 17:05,14849,United Kingdom,254,364.16
562885,10/08/2021 11:30,14024,United Kingdom,51,65.25
576906,17/11/2021 09:33,18225,United Kingdom,575,616.48
552248,06/05/2021 19:49,12748,United Kingdom,3,7.15
556314,10/06/2021 10:47,,United Kingdom,145,0
560997,22/07/2021 13:59,12627,Germany,426,768.02
551567,03/05/2021 11:12,,United Kingdom,13,0
569702,05/10/2021 16:09,14396,United Kingdom,186,377.64
580372,02/12/2021 17:04,16359,United Kingdom,91,110.73
543121,03/02/2021 13:58,12662,Germany,184,336.7
565240,02/09/2021 10:05,17949,United Kingdom,372,1047.12
539338,17/12/2020 10:54,17404,Sweden,3714,2646.3
571439,17/10/2021 13:25,17206,United Kingdom,76,204.24
566667,14/09/2021 11:34,14660,United Kingdom,124,156.79
538879,14/12/2020 15:50,15392,United Kingdom,402,338.98
546520,14/03/2021 12:28,14911,EIRE,498,706.6
559981,14/07/2021 11:30,14562,United Kingdom,246,603.54
543194,04/02/2021 12:25,,United Kingdom,145,0
565426,04/09/2021 12:41,12851,United Kingdom,109,135.18
578999,27/11/2021 16:08,17595,United Kingdom,144,230.89
543049,03/02/2021 10:09,,United Kingdom,320,0
577158,18/11/2021 09:58,16293,United Kingdom,135,342.83
569249,03/10/2021 10:15,14092,United Kingdom,153,351.17
536370,01/12/2020 08:45,12583,France,449,855.86
580561,05/12/2021 10:25,,United Kingdom,145,0
572477,24/10/2021 13:39,,United Kingdom,145,0
564040,22/08/2021 12:45,14560,United Kingdom,16,57.2
549983,13/04/2021 15:55,16348,United Kingdom,77,157.29
567628,21/09/2021 13:01,14060,United Kingdom,646,738.58
558389,29/06/2021 10:18,14383,United Kingdom,201,242.09
567917,22/09/2021 17:19,14298,United Kingdom,2235,1364.61
579121,28/11/2021 12:01,17299,United Kingdom,69,91.06
565324,02/09/2021 13:18,13232,United Kingdom,105,169.85
567208,19/09/2021 11:01,,United Kingdom,2,0
575048,08/11/2021 12:12,,United Kingdom,145,0
548148,29/03/2021 12:31,17931,United Kingdom,164,297.2
580658,05/12/2021 13:44,17090,United Kingdom,122,224.04
580308,02/12/2021 14:30,14250,United Kingdom,138,240.22
563177,12/08/2021 14:03,17293,United Kingdom,1,65
571622,18/10/2021 10:58,14798,United Kingdom,46,76.34
578029,22/11/2021 13:33,16985,United Kingdom,285,860.7
543907,14/02/2021 12:16,17346,United Kingdom,62,105.57
553205,16/05/2021 08:13,15813,United Kingdom,234,533.26
577393,18/11/2021 17:06,14031,United Kingdom,806,2068.09
552972,12/05/2021 13:43,16043,United Kingdom,85,224.54
554997,29/05/2021 15:35,16746,United Kingdom,226,321.96
560600,19/07/2021 17:04,,United Kingdom,145,0
576326,14/11/2021 15:18,16504,United Kingdom,524,484.38
568150,25/09/2021 11:39,16689,United Kingdom,64,128.44
557670,22/06/2021 10:11,12798,Japan,2256,1607.04
562460,05/08/2021 11:19,17841,United Kingdom,169,245.83
576388,15/11/2021 10:00,17510,United Kingdom,214,308.48
542541,28/01/2021 14:25,,United Kingdom,345,1551.56
555836,07/06/2021 12:36,13098,United Kingdom,469,531.36
543273,06/02/2021 11:29,16456,United Kingdom,247,449.28
581399,08/12/2021 13:27,17528,United Kingdom,198,200.5
544905,24/02/2021 13:54,17117,United Kingdom,68,116.2
565389,02/09/2021 16:19,,United Kingdom,145,0
576650,16/11/2021 10:34,14286,United Kingdom,1505,1935.9
549274,07/04/2021 13:07,12721,France,239,366.2
575710,10/11/2021 17:29,17901,United Kingdom,24,110.38
562788,09/08/2021 13:48,17669,United Kingdom,206,368.5
555286,02/06/2021 09:40,14298,United Kingdom,36,51
547528,23/03/2021 15:05,,United Kingdom,2,0
554667,25/05/2021 15:18,15727,United Kingdom,214,374.82
548991,05/04/2021 13:48,16915,United Kingdom,29,112.49
554709,26/05/2021 10:35,15769,United Kingdom,600,1086
570333,10/10/2021 12:19,18126,United Kingdom,144,206.83
556214,09/06/2021 14:14,14913,United Kingdom,455,301.32
569850,06/10/2021 13:59,16432,United Kingdom,276,287.4
557351,20/06/2021 10:42,16670,United Kingdom,4,13
571692,18/10/2021 14:34,13860,United Kingdom,7,27.29
563613,18/08/2021 08:49,12688,Israel,3028,4873.81
564821,30/08/2021 12:16,14078,United Kingdom,73,221.46
565123,01/09/2021 11:56,17949,United Kingdom,96,480
574480,04/11/2021 12:42,15010,United Kingdom,184,308.94
556516,13/06/2021 10:46,,United Kingdom,50,351.42
569684,05/10/2021 14:42,13947,United Kingdom,44,90.6
561878,31/07/2021 12:34,17388,United Kingdom,59,189.83
579000,27/11/2021 16:18,13991,United Kingdom,14,31.3
